W,M,AVG_CPU,DEV_CPU,AVG_MEM,DEV_MEM,AVG_TIME,AVG_REQ_TIME,MEAN_POWER
9,1,22.236,7.2112,2.197,0.1135,0.457,42.361,2.1329
10,1,21.476,6.1994,2.208,0.1163,0.443,22.387,2.1364
11,1,25.612,9.4119,2.2,0.1371,0.523,12.905,2.1442
12,1,26.879,9.1821,2.166,0.1557,0.534,7.3,2.1542
9,2,22.149,7.785,2.166,0.1133,0.449,51.491,2.1298
10,2,19.939,6.6083,2.183,0.1265,0.413,26.237,2.137
11,2,24.961,8.7802,2.184,0.1222,0.499,13.241,2.14
12,2,26.477,8.6466,2.21,0.1127,0.523,8.236,2.1485
9,3,22.422,7.6857,2.196,0.1435,0.454,51.052,2.1307
10,3,20.536,7.6592,2.188,0.1151,0.424,22.501,2.1338
11,3,24.891,8.5103,2.192,0.1405,0.498,14.059,2.1398
12,3,26.055,9.3086,2.175,0.1763,0.524,7.824,2.1523
9,4,21.689,8.1208,2.169,0.1689,0.441,42.054,2.1298
10,4,20.533,6.8992,2.154,0.1558,0.419,24.684,2.1347
11,4,24.947,8.3711,2.182,0.1244,0.5,14.558,2.144
12,4,25.29,8.4923,2.197,0.1261,0.51,8.246,2.1536
16,1,36.097,9.0001,2.188,0.1116,0.652,2.63,2.2058
16,2,36.852,8.7868,2.188,0.108,0.657,2.535,2.2042
16,3,36.867,9.7384,2.198,0.1131,0.665,2.567,2.2275
16,4,36.208,9.1543,2.177,0.1156,0.653,2.63,2.2288
16,5,36.792,10.1685,2.188,0.1699,0.658,2.588,2.2238
16,6,35.343,9.1398,2.169,0.1027,0.644,2.6,2.2172
16,7,35.798,10.0148,2.169,0.1515,0.651,2.648,2.2211
16,8,36.477,9.4689,2.183,0.098,0.654,2.54,2.2188
8,100,20.897,8.0417,2.183,0.1192,0.434,83.494,2.129
9,100,20.78,8.1636,2.176,0.1124,0.427,44.025,2.1308
10,100,20.64,7.0599,2.177,0.1148,0.43,23.427,2.1352
11,100,24.708,9.0034,2.189,0.1048,0.501,13.547,2.1437
12,100,26.776,9.4314,2.187,0.111,0.531,8.07,2.1471
13,100,26.833,9.0137,2.203,0.1315,0.53,5.559,2.1564
14,100,28.787,9.6114,2.19,0.1091,0.557,4.272,2.1678
15,100,30.295,7.2461,2.179,0.1321,0.548,3.503,2.2025
16,100,36.841,9.9915,2.177,0.1215,0.652,2.532,2.2261
