W,M,AVG_CPU,DEV_CPU,AVG_MEM,DEV_MEM,AVG_TIME,MEAN_POWER
9,1,27.3272,10.6957,1.9606,0.2242,13.157,2.3657
10,1,25.26,12.5534,1.9998,0.0079,6.919,2.3507
11,1,20.3399,12.9229,1.9996,0.013,3.645,2.328
12,1,17.1512,14.0356,1.9997,0.0078,2.093,2.3068
9,2,29.5266,9.2195,1.9999,0.0034,16.469,2.3721
10,2,26.1686,11.7404,1.9999,0.0048,8.126,2.3525
11,2,20.7143,13.0058,1.9998,0.0064,3.77,2.3266
12,2,18.7324,14.659,1.9994,0.015,2.469,2.3127
9,3,29.4673,9.2754,1.9999,0.0051,16.315,2.3715
10,3,25.2866,12.5265,1.9999,0.0053,6.966,2.349
11,3,21.5056,13.1082,1.9997,0.0094,4.095,2.3289
12,3,18.0273,14.5283,1.9999,0.0038,2.307,2.3116
9,4,28.0883,9.9301,2.0,0.0019,13.07,2.3634
10,4,25.8874,12.074,1.9998,0.0075,7.657,2.3514
11,4,22.2087,13.412,2.0856,0.0359,4.334,2.3319
12,4,18.6165,14.6,1.9996,0.0113,2.462,2.3143
16,1,15.8181,19.3632,2.0908,0.0311,1.065,2.2839
16,2,15.9713,20.032,2.0903,0.0366,1.069,2.2869
16,3,16.1126,20.1859,2.0807,0.045,1.082,2.2847
16,4,16.1678,20.2077,2.0806,0.0475,1.1,2.2857
16,5,15.9056,19.8764,1.9965,0.0218,1.069,2.2843
16,6,15.8981,19.9358,2.0912,0.0292,1.075,2.2846
16,7,15.6767,19.6817,1.9968,0.0189,1.072,2.2857
16,8,16.2552,20.5307,2.0809,0.0427,1.09,2.2852
8,100,30.9449,8.1275,2.0,0.0027,27.146,2.3856
9,100,28.3897,9.7263,1.9999,0.0037,13.763,2.3642
10,100,25.5321,12.2759,2.0879,0.0346,7.249,2.3505
11,100,21.2126,13.1635,2.0866,0.0343,3.926,2.3275
12,100,18.2429,14.3802,2.0941,0.0269,2.378,2.3103
13,100,16.1272,15.1244,2.0928,0.0296,1.688,2.2992
14,100,14.5458,15.2073,2.0821,0.0413,1.307,2.2854
15,100,15.0961,16.635,2.0918,0.0297,1.177,2.2848
16,100,16.0816,20.1921,2.0811,0.0409,1.076,2.2856
